scenario_id,lot_id,lot_name,lat,lon,gu,dong,rank,cover_n,cover_ds,route_fi,delivery_zone,explanation
S044,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,5,60,19.9464,0.6887,부적합,수요커버 Ds=19.95 | 60셀 | 선정순위#5 | 경로타당성69%
S044,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,19.41,0.71941,부적합,수요커버 Ds=19.41 | 60셀 | 선정순위#6 | 경로타당성72%
S045,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,29.4577,0.78124,부적합,수요커버 Ds=29.46 | 60셀 | 선정순위#1 | 경로타당성78%
S045,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,2,59,25.1425,0.62646,부적합,수요커버 Ds=25.14 | 59셀 | 선정순위#2 | 경로타당성63%
S045,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,3,60,22.7923,0.6887,부적합,수요커버 Ds=22.79 | 60셀 | 선정순위#3 | 경로타당성69%
S045,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,57,22.6759,0.78484,부적합,수요커버 Ds=22.68 | 57셀 | 선정순위#4 | 경로타당성78%
S045,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,5,56,22.4827,0.8105,부적합,수요커버 Ds=22.48 | 56셀 | 선정순위#5 | 경로타당성81%
S045,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,22.3324,0.71941,부적합,수요커버 Ds=22.33 | 60셀 | 선정순위#6 | 경로타당성72%
S046,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,29.4577,0.78124,부적합,수요커버 Ds=29.46 | 60셀 | 선정순위#1 | 경로타당성78%
S046,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,2,59,25.1425,0.62646,부적합,수요커버 Ds=25.14 | 59셀 | 선정순위#2 | 경로타당성63%
S046,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,3,60,22.7923,0.6887,부적합,수요커버 Ds=22.79 | 60셀 | 선정순위#3 | 경로타당성69%
S046,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,57,22.6759,0.78484,부적합,수요커버 Ds=22.68 | 57셀 | 선정순위#4 | 경로타당성78%
S046,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,5,56,22.4827,0.8105,부적합,수요커버 Ds=22.48 | 56셀 | 선정순위#5 | 경로타당성81%
S046,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,22.3324,0.71941,부적합,수요커버 Ds=22.33 | 60셀 | 선정순위#6 | 경로타당성72%
S047,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,29.818,0.78124,부적합,수요커버 Ds=29.82 | 60셀 | 선정순위#1 | 경로타당성78%
S047,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,2,59,25.4347,0.62646,부적합,수요커버 Ds=25.43 | 59셀 | 선정순위#2 | 경로타당성63%
