target_h3_index,assigned_lot_id,assigned_lot_name,target_ADM_NM,target_GU_NM,Ds,delivery_zone,drone_time_min,route_mean_constraint_score,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible
8930e026d47ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.319507872547028,0.7008683906226886,True,False,True
8930e026d4bffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.6580855684233522,0.6947579355993568,True,False,True
8930e026d4fffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.3910921017121418,0.7167423339755816,True,False,True
8930e026d53ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.7818147204960251,0.6731854848609143,True,False,True
8930e026d57ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.5982290732764651,0.6929481080297355,True,False,True
8930e026d5bffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.7972245059480998,0.6597863041542898,True,False,True
8930e026d63ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.1558770876008112,0.7438801882266269,True,False,True
8930e026d67ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.4192996859656635,0.7559215625492504,True,False,True
8930e026d6bffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.3189030065327184,0.7406281926716591,True,False,True
8930e026d6fffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.4097414499673135,0.7500688535946547,True,False,True
8930e026d73ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.2261284829161081,0.7438801882266269,True,False,True
8930e026d77ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.379570211140409,0.759845191613509,True,False,True
8930e026d7bffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.1291729811360716,0.7438801882266269,True,False,True
8930e026dabffff,206-2-000022,운중동공영주차장,시흥동,수정구,0.2292619362013324,부적합,1.1565255777107424,0.7509620393946389,True,False,False
8930e026dc7ffff,206-2-000022,운중동공영주차장,시흥동,수정구,0.2292619362013324,부적합,1.0742460379281165,0.6893300897800816,True,False,True
8930e026dcbffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,1.0468638904828482,0.6796767782634121,True,False,True
8930e026dcfffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.8854625467293894,0.6768185097870535,True,False,True
8930e152083ffff,204-2-000034,신흥제9공영주차장,성남동,중원구,0.5129422940779669,부적합,1.091277518415913,0.6042451341762588,True,False,True
8930e152087ffff,204-2-000034,신흥제9공영주차장,중앙동,중원구,0.3028836789262165,부적합,1.0840782127941104,0.5871648768414505,True,False,True
